עיר,רחוב 1,רחוב 2,מרחק (מטר),קו רוחב 1,קו אורך 1,קו רוחב 2,קו אורך 2
ירושלים,פיתוחי חותם,שמעון הצדיק,171,31.794162,35.2228648,31.7939264,35.2246558
קרני שומרון,הצלילים,כלי שיר,171,32.1699874,35.104948,32.1712747,35.1059468
הרצליה,הפרטיזנים,מורדי הגטאות,171,32.1684061,34.857932,32.1697225,34.8588758
קרני שומרון,החלילים,כלי שיר,171,32.1718275,35.1065242,32.1727776,35.1079467
מודיעין-מכבים-רעות,עמק האלה,עמק חרוד,170,31.9178454,35.0028031,31.9173666,35.0010877
יבנה,אלעזר דוד,הראשונים,170,31.8689815,34.7502315,31.8686275,34.7484775
ערד,אביב,המכבים,170,31.2576933,35.2156699,31.2569863,35.2172567
לוד,לאה אימנו,שרה אימנו,170,31.9405289,34.8971149,31.9398866,34.8987476
טבריה,בן אליעזר,"שז""ר",170,32.7821853,35.5165035,32.7807295,35.5159582
באר שבע,נחל גוב,נחל פרס,170,31.2293141,34.8213175,31.2296899,34.8195887
גבעתיים,אלישע רודין,קפלנסקי,169,32.0631909,34.8179369,32.0639522,34.8163825
אשדוד,ה' באייר,המתנדבים,169,31.783041,34.6433726,31.7843713,34.6442346
ראשון לציון,חגי הנביא,נחמיה,169,31.950498,34.8140183,31.9519947,34.8137251
זכרון יעקב,ששת הימים,"תש""ח",169,32.5648337,34.9497618,32.5633227,34.9496055
ירושלים,גת,קרית משה,168,31.7858247,35.1972723,31.7859458,35.1954963
מודיעין-מכבים-רעות,יחזקאל הנביא,ישעיהו הנביא,168,31.9126046,35.002887,31.9135498,35.0042805
ירושלים,ארונה היבוסי,מעלות בני,168,31.7727093,35.2274476,31.771326,35.2267248
תל מונד,היהלום,השוהם,168,32.2494121,34.9093649,32.2490381,34.9076328
חולון,הוגו ארנסט,הציונות,168,32.0073011,34.7659837,32.0069021,34.7677028
כפר יונה,הרב קוק,עולי הגרדום,168,32.3184762,34.9377906,32.3186532,34.9395659
ירושלים,האייל,הכפיר,167,31.7535518,35.1850103,31.7534705,35.1867788
ראש העין,אירוס,יערה,167,32.0971756,34.9668749,32.0986352,34.967296
ערד,הקנאים,שמעון,167,31.2573686,35.2030104,31.2581489,35.2045107
עכו,בן עמי,עוקף עכו,167,32.918955,35.0968021,32.9204489,35.0969601
ירושלים,אל סלבדור,אריה דולצ'ין,167,31.7481567,35.171505,31.7492616,35.170313
כפר יונה,גולני,יפתח,166,32.3149642,34.9215694,32.3135442,34.9210111
חיפה,כל ישראל חברים,לואי פסטר,165,32.8208306,34.9681837,32.8219531,34.9670214
מצפה רמון,שביל ממשית,שביל שבטה,165,30.6112479,34.8068453,30.6127301,34.8069796
אלפי מנשה,ארבל,חרמון,165,32.1739632,35.0105002,32.1726555,35.0113328
באר שבע,ג'ו אלון,שדרות ירושלים,165,31.2441883,34.7812063,31.2452887,34.782372
נס ציונה,חיים ברלב,מנחם בגין,164,31.9246321,34.7825819,31.9236412,34.7838749
ירושלים,אהלי יוסף,אוהלי יוסף,164,31.7974352,35.2165567,31.7960582,35.2171895
אילת,אבני החושן,שוהם,163,29.5495731,34.9497129,29.5498108,34.948048
רחובות,רחל הירשזון,רחל הרשנזון,163,31.8871261,34.805433,31.8879523,34.8068604
רעננה,המעיין,לזר,163,32.1835228,34.8560712,32.1841916,34.8545322
באר שבע,לוין קיפניס,נחום גוטמן,163,31.2381386,34.7796614,31.239602,34.7796884
בת ים,אלתרמן,השר שפירא,163,32.0155009,34.7423916,32.0166185,34.7435027
ירושלים,הרחמים,קהילת ירושלים,162,31.7746514,35.2445672,31.7752117,35.2429807
בני ברק,עזרא,שלמה המלך,162,32.0804124,34.8394467,32.07932,34.8383027
ירושלים,א-נג'ום,קלרמון-גנו,162,31.7954731,35.2342022,31.7962885,35.232785
באר שבע,נחל חיון,נחל נקרות,161,31.2301084,34.8264255,31.2315129,34.8268528
רמת גן,רננים,שדרות העם הצרפתי,161,32.0932374,34.8147923,32.0938601,34.8163308
באר שבע,לאה גולדברג,שמעוני,161,31.2537211,34.7955268,31.252277,34.7955369
בית שאן,אווה בויאר,נורדאו,160,32.5010128,35.4956793,32.5020683,35.4968466
באר שבע,"אלדד שיב ד""ר",בדר,160,31.2741426,34.8238878,31.2744583,34.8222402
באר שבע,מרק חסמן,פינקל,160,31.2647201,34.7553595,31.2652398,34.7537875
הרצליה,יעקב דורי,משה שמיר,160,32.1755382,34.8418916,32.1756672,34.8401976
ערד,סלע,פלדה,160,31.2493715,35.2044602,31.2499524,35.2059976
טבריה,דרך מרן,המברג,159,32.7847515,35.4974541,32.784127,35.498989
אשקלון,הצופים,עליית הנוער,159,31.6603005,34.5700023,31.6595081,34.5714018
מבשרת ציון,הדרור,הזמיר,159,31.8059696,35.1483406,31.8073977,35.1483179
ירושלים,בן סירא,שלומציון המלכה,159,31.7783888,35.2226773,31.7796838,35.2219742
אור עקיבא,איסר הראל,מאיר עמית,158,32.5060145,34.923433,32.5059413,34.9251179
נס ציונה,אליהו מירון,התבור,158,31.9343284,34.8018159,31.935086,34.8032331
באר שבע,נחל דליות,נחל לבן,157,31.2301105,34.8176006,31.2287085,34.8174328
קרני שומרון,הדקל,ההדס,156,32.1707706,35.0775431,32.1693913,35.0778532
שדרות,הרקפת,קרן היסוד,156,31.5304644,34.5914861,31.5291464,34.5909237
ראש העין,מגדל דוד,סמדר,156,32.0863176,34.9556494,32.087094,34.9542715
ירושלים,אבל פן,קובובי,155,31.7612774,35.1816948,31.7600139,35.1823939
אשקלון,הנמל,יפה נוף,155,31.679988,34.5578614,31.6811522,34.558767
ערד,נחל,ערוץ,155,31.2536359,35.1976375,31.2546932,35.1987026
אשדוד,כסלו,תשרי,155,31.7806688,34.6408011,31.779492,34.6399243
תל מונד,הדובדבן,התפוח,155,32.2457135,34.9238323,32.2462793,34.9253368
הרצליה,ברל כצנלסון,מורדי הגטאות,154,32.1680609,34.8573923,32.1669857,34.8584303
חיפה,התמר,חרוב,154,32.8131669,34.969066,32.8133696,34.9674322
חיפה,Grand Kenyon-To Northern Parking,נחל גיבורים,154,32.7889246,35.0035819,32.7897989,35.0048641
שדרות,דוד אלעזר,יגאל אלון,154,31.5226464,34.6013262,31.5226169,34.5997017
ראש העין,גפן,האילנות,154,32.096514,34.9627888,32.095135,34.9628921
רחובות,ה' באייר,הרשנזון רחל,154,31.8896034,34.8096369,31.8904012,34.8109643
חולון,הנביאים,יחזקאל,153,32.016452,34.7909808,32.0155235,34.7921843
נתניה,הידידות,הרעות,153,32.3183139,34.8489919,32.3169401,34.8491233
ראשון לציון,נאות גולן,קצרין,153,31.9814175,34.7608196,31.9816749,34.7592257
באר שבע,הנרייטה סולד,כיכר נאוי,153,31.2468306,34.7983856,31.2467889,34.7999944
רמת גן,משה דיין,שדרות הקונגרס,153,32.0614689,34.8277347,32.0615967,34.8261201
בית שאן,גולדה מאיר,משה שרת,153,32.4888034,35.4909081,32.4901394,35.491289
הרצליה,גיל,מנורה,153,32.1622208,34.8620038,32.1626861,34.860479
הרצליה,ברל כצנלסון,חוני המעגל,152,32.1668733,34.8582392,32.1679294,34.8572111
אשדוד,חזקיה המלך,עזריה המלך,152,31.7744806,34.6475264,31.7755896,34.6484642
אשקלון,מעלות אשר,שלמה כהן,152,31.6785591,34.5777374,31.678559,34.5761333
רעננה,המעיין,הנחל,152,32.1838301,34.8545013,32.1835228,34.8560712
חיפה,חורשת הבנים,קרן היסוד,151,32.7904351,35.0007864,32.7896604,35.0021181
ירושלים,אבוהב,רג'ואן,151,31.7611046,35.1897393,31.7616914,35.1882957
אשדוד,דוד המלך,רחבעם המלך,151,31.7785895,34.6436407,31.7775323,34.6426388
ראש העין,האילנות,תאנה,151,32.0960573,34.9635372,32.0947066,34.9636905
באר שבע,משה קהירי,נחום סנה,151,31.2844208,34.8007444,31.2832086,34.8014552
נתניה,הזמיר,החסידה,150,32.3037301,34.8816709,32.3047959,34.882655
ראש העין,דליות,יערה,150,32.0975501,34.9690951,32.0987458,34.9683515
